Date,Open,High,Low,Close,Volume,Market Cap
Feb-12-2020,10220.508924458,10396.605743004,10220.508924458,10327.554589217,37536325030.77256,186429089122.67944
Jan-13-2020,8174.754397887,8176.991753055,8065.080319568,8116.969510017,20209676488.402725,146622670428.85986
Dec-14-2019,7257.669869466,7268.679039935,7035.598502098,7078.955218817,14111391071.938242,129695505705.06288
Nov-14-2019,8783.686952919,8794.527283025,8620.686437847,8662.422431497,18018026600.858738,156750711852.257
Oct-15-2019,8348.315575696,8386.856510757,8144.31772147,8174.781558437,14132500731.96211,148809311397.95
Sep-15-2019,10349.132693446,10368.311044913,10283.331817049,10313.443525982,13739377464.074913,185049550071.33182
Aug-16-2019,10300.390060704,10501.672200434,9811.905850079,10344.507989693,22782309789.56091,182935795751.69363
Jul-17-2019,9450.356040111,9922.43590581,9134.258910507,9643.71473555,27039875821.842934,170647752713.08215
Jun-17-2019,9026.522571994,9403.695555879,9026.522571994,9328.082235709,18094529601.113903,164175861821.78784
May-18-2019,7393.579773489,7511.650425797,7295.380303288,7332.609911221,20358130230.13385,130597276787.70152
Apr-18-2019,5271.35217627,5330.747549732,5268.381876188,5309.256996284,11063569340.208778,93467190505.50226
Mar-19-2019,4016.775380202,4048.74796906,4005.380860171,4039.787113996,6570358755.835549,70848433871.19691
Feb-17-2019,3598.148040489,3637.774895747,3577.450979857,3630.26901901,3355410897.195083,63155392541.64307
Jan-18-2019,3682.436730965,3686.295784048,3632.797684376,3653.185376139,4651045589.009092,63998003594.701416
Dec-19-2018,3672.828563746,3910.052394847,3656.799274105,3719.296166218,4910794538.842526,65607240816.85653
Nov-19-2018,5651.276823682,5653.306826427,4858.770197698,4893.020432943,3984630708.562563,92033798169.70706
Oct-20-2018,6456.360438816,6472.939715716,6439.166420848,6461.901010679,2966669746.46326,111908678079.51297
Sep-20-2018,6399.795216298,6513.94595805,6366.826294158,6497.019131212,3420591797.8871593,110865716891.74457
Aug-21-2018,6284.246451559,6494.949181666,6282.055267622,6482.48093953,3352928439.4427915,110497806843.18237
Jul-22-2018,7398.452210369,7535.767369706,7381.602713089,7391.747573501,3665112371.9181433,127708552338.54575
Jun-22-2018,6712.439403078,6715.006408875,6056.861989359,6071.720089041,3351734963.0013323,109318040094.6063
May-23-2018,8021.527115451,8050.003180465,7525.488247962,7570.538188039,4347099237.87214,133788780303.85522
Apr-23-2018,8785.307707704,8966.254422322,8775.238204718,8924.023356307,5577263962.682184,151137648092.48865
Mar-24-2018,8923.404782927,9002.746568517,8634.654030499,8661.018753079,3067943937.3540545,149796255286.36063
Feb-22-2018,10691.350530395,11034.671353368,9913.997706791,9987.171846325,5331192808.404261,175425443931.25638
Jan-23-2018,10917.290839889,11335.215751995,10113.380400145,10800.472615701,9191153509.349249,181273974069.99017
Dec-24-2017,14159.446340004,14976.380227885,12155.933488041,13812.876812572,10635564244.444635,229493846731.4169
Nov-24-2017,8070.247953901,8379.714926737,7971.92537997,8268.087281862,4071299796.690899,137529515577.13965
Oct-25-2017,5527.282209773,5727.942644134,5394.936588464,5725.302354213,2133954216.7710502,92262494594.85838
Sep-25-2017,3682.84,3950.25,3681.58,3923.13,1050890993.006993,63422971695.593
Aug-26-2017,4371.6,4379.28,4269.52,4333.51,1594584895.8333333,71507021360.01128
Jul-27-2017,2529.45,2693.32,2529.34,2671.57,779155975.6944444,42692653623.620605
Jun-27-2017,2478.45,2536.53,2332.99,2536.53,1568822403.1007752,40197236470.60296
May-28-2017,2038.87,2267.34,2038.87,2157.05,1430073693.379791,35527733790.18889
Apr-28-2017,1317.73,1331.28,1292.37,1316.84,500212295.1388889,21377949011.08139
Mar-29-2017,1047.15,1055.13,1015.88,1039.68,323618635.4166667,16823470210.933685
Feb-27-2017,1165.2,1181.98,1163.38,1179.03,115890369.3379791,18957409592.28196
Jan-28-2017,919.75,923.911,919.75,921.583,91621393.75,14870049775.101192
Dec-29-2016,975.921,979.397,954.503,973.589,219961975.69444445,15582024480.39165
Nov-29-2016,735.813,737.471,734.559,735.704,63371901.38888889,11799308281.845467
Oct-30-2016,714.479,714.479,696.475,701.86,121896885.61403508,11273594424.808786
Sep-30-2016,605.693,609.67,604.142,609.67,52696325.087108016,9630392326.000885
Aug-31-2016,577.503,577.861,573.642,575.329,71153201.04166667,9110302082.542088
Aug-01-2016,624.681,626.119,605.884,605.969,110822137.63066202,9799820308.137808
Jul-02-2016,676.296,703.288,676.296,703.288,112441163.7630662,10825487574.02079
Jun-02-2016,536.92,540.352,533.078,538.017,70688274.30555555,8370134546.793167
May-03-2016,444.669,451.097,442.617,450.318,72760103.47222222,6931482120.597055
Apr-03-2016,420.873,421.58,419.697,420.861,33961565.73426574,6478782222.8557205
Mar-04-2016,421.651,425.178,410.968,411.326,90064090.45936395,6440671761.161821
Feb-03-2016,374.448,374.95,368.045,369.989,39169083.62369338,5652207502.360236
Jan-04-2016,430.011,434.517,429.084,433.122,37156232.98611111,6494453328.07912
Dec-05-2015,363.183,389.785,363.183,388.868,45316424.30555555,5604586876.759362
Nov-05-2015,411.563,447.561,374.581,387.637,237329668.98954704,5890261318.742124
Oct-06-2015,240.383,246.935,240.136,246.044,25082222.99651568,3567769843.8405666
Sep-06-2015,235.019,242.912,234.681,239.945,24834405.208333332,3491769005.919418
Aug-07-2015,278.577,280.392,276.366,279.406,27972026.041666668,4036428105.3875604
Jul-08-2015,266.207,272.971,264.386,270.596,31255541.81184669,3851824306.3459616
Jun-08-2015,222.881,229.464,222.839,228.536,17321369.097222224,3219474991.1415844
May-09-2015,243.863,247.804,239.639,242.022,27321360.763888888,3429250135.2118
Apr-09-2015,245.022,246.118,239.4,243.744,27322916.319444444,3418385181.646564
Mar-10-2015,289.607,300.044,289.607,291.696,69603594.40559441,4094007956.824393
Feb-08-2015,227.754,229.438,221.077,223.3,19479428.472222224,3107583892.340442
Jan-09-2015,283.349,291.114,280.533,290.408,19266206.59898477,3879409276.0949216
Dec-10-2014,352.219,352.384,347.082,347.332,22380909.375,4749511967.616489
Nov-10-2014,363.264,374.816,357.561,365.658,28670205.923344947,4918730212.546276
Oct-11-2014,361.562,367.191,355.951,363.041,25966678.472222224,4826730278.052319
Sep-11-2014,479.359,482.351,474.61,479.645,19749719.444444444,6347493681.060358
Aug-12-2014,576.368,576.948,566.595,569.592,17303184.375,7491684774.753191
Jul-13-2014,633.713,634.727,624.909,626.521,12198057.692307692,8184162955.741302
Jun-13-2014,585.696,615.137,585.696,600.163,59071984.66898955,7722375048.396614
May-14-2014,440.592,446.659,440.503,443.972,8088830.55944056,5660700628.614156
Apr-14-2014,414.828,469.751,407.373,458.787,41624579.298245616,5634258397.876184
Mar-15-2014,629.37,639.14,627.3,636.12,8524813.263888888,7932813424.413489
Feb-13-2014,651.08,657.99,601.91,605.24,23001732.75261324,7941472584.606925
Jan-14-2014,843.17,855.69,825.66,833.27,35096684.375,10313078242.653051
Dec-15-2013,875.29,886.16,825,876.12,0,10377942790.14841
Nov-15-2013,419.41,437.89,396.11,417.95,0,5088115349.36237
Oct-16-2013,145.65,152.23,142.43,142.55,0,1754296577.6585367
Sep-16-2013,130.86,132.72,129.77,131.72,0,1538142725.0347223
Aug-17-2013,108.994,113.75,108.225,113.5,0,1277530513.53125
Jul-18-2013,98.5,98.8,86.2,90.58,0,1050190864.8641115
Jun-18-2013,101.95,111.111,101.033,107.4,0,1188925051.6550522
May-19-2013,123.211,124.5,119.571,121.99,0,1368860919.662021
Apr-19-2013,118.48,118.48,118.48,118.48,0,0
Mar-20-2013,64.4888,64.4888,64.4888,64.4888,0,0
Feb-18-2013,26.95,26.95,26.95,26.95,0,0
Jan-19-2013,15.615,15.615,15.615,15.615,0,0
Dec-20-2012,13.5246,13.5246,13.5246,13.5246,0,0
Nov-20-2012,11.7328,11.7328,11.7328,11.7328,0,0
Oct-21-2012,11.6311,11.6311,11.6311,11.6311,0,0
Sep-21-2012,12.368,12.368,12.368,12.368,0,0
Aug-22-2012,9.8068,9.8068,9.8068,9.8068,0,0
Jul-23-2012,8.4457,8.4457,8.4457,8.4457,0,0
Jun-23-2012,6.4285,6.4285,6.4285,6.4285,0,0
May-24-2012,5.119,5.119,5.119,5.119,0,0
Apr-24-2012,5.0982,5.0982,5.0982,5.0982,0,0
Mar-25-2012,4.55,4.55,4.55,4.55,0,0
Feb-24-2012,5.0288,5.0288,5.0288,5.0288,0,0
Jan-25-2012,5.75,5.75,5.75,5.75,0,0
Dec-26-2011,4.018,4.018,4.018,4.018,0,0
Nov-26-2011,2.47,2.47,2.47,2.47,0,0
Oct-27-2011,3.04,3.04,3.04,3.04,0,0
Sep-27-2011,4.9156,4.9156,4.9156,4.9156,0,0
Aug-28-2011,9.0701,9.0701,9.0701,9.0701,0,0
