Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,211.123657,224.623230,206.867615,222.669724,222.669724,40040161993
2019-08-05,222.650879,239.115906,203.793106,216.092865,216.092865,49136843740
2019-08-12,216.055908,216.142563,178.142563,194.493530,194.493530,45877953733
2019-08-19,194.556030,203.560150,182.689178,186.842392,186.842392,46632300378
2019-08-26,186.735550,193.442184,167.071411,171.629425,171.629425,44238019253
2019-09-02,171.697601,182.977081,168.341339,181.355530,181.355530,45055593571
2019-09-09,181.362488,190.399338,176.500916,189.789124,189.789124,45198762797
2019-09-16,189.689331,222.871689,189.689331,211.545380,211.545380,61873464397
2019-09-23,211.713211,211.840515,157.130325,170.503479,170.503479,58169155810
2019-09-30,170.461349,185.045532,167.036606,173.059143,173.059143,45885221242
2019-10-07,172.940338,195.318802,171.527817,182.075150,182.075150,56130669074
2019-10-14,182.028473,187.759872,171.005051,175.534378,175.534378,50355262089
2019-10-21,175.524750,195.942505,157.463425,184.242218,184.242218,65738937005
2019-10-28,184.397507,191.846756,179.818146,182.425018,182.425018,67116189196
2019-11-04,182.319031,193.547256,181.821609,189.477280,189.477280,65020785596
2019-11-11,189.502930,190.338425,179.379562,185.119232,185.119232,53855340906
2019-11-18,185.041458,186.927155,142.344101,142.834702,142.834702,59169235619
2019-11-25,142.697006,156.848404,133.802338,151.185730,151.185730,55908526365
2019-12-02,151.175476,153.155396,145.000885,151.264725,151.264725,46298515511
2019-12-09,151.224396,151.913940,139.426956,143.114990,143.114990,50079312865
2019-12-16,143.139526,143.224854,119.780060,132.372513,132.372513,64222383055
2019-12-23,132.306992,136.811203,124.820808,134.757980,134.757980,60680673988
2019-12-30,134.796524,139.410202,126.490021,136.276779,136.276779,60136182925
2020-01-06,136.305542,146.828003,135.520401,145.873932,145.873932,62381414344
2020-01-13,146.220139,178.528778,142.907135,166.969849,166.969849,97639543132
2020-01-20,166.904129,171.008698,156.749741,168.077103,168.077103,68717085329
2020-01-27,168.008850,193.080399,166.901093,188.617538,188.617538,83460146823
2020-02-03,188.607407,229.864243,185.403625,228.578568,228.578568,103844093984
2020-02-10,228.549133,287.123688,218.080048,259.894714,259.894714,155914144464
2020-02-17,259.890564,283.537933,244.335327,273.754150,273.754150,155804425527
2020-02-24,273.705078,275.539520,212.664520,218.970596,218.970596,155085502169
2020-03-02,218.711624,249.978485,200.602982,200.689056,200.689056,135115381288
2020-03-09,201.318497,207.451401,95.184303,125.214302,125.214302,134434550043
2020-03-16,124.996117,150.853806,105.171440,123.321152,123.321152,101229181040
2020-03-23,123.365982,141.948532,121.867882,125.583733,125.583733,87056124995
2020-03-30,125.577896,146.899872,125.289680,143.546646,143.546646,87098050994
2020-04-06,143.608215,175.204132,143.544601,161.142426,161.142426,121920291111
2020-04-13,160.720673,188.098923,150.359421,181.614960,181.614960,124291707826
2020-04-20,181.480225,199.344971,170.321274,197.317535,197.317535,130380747534
2020-04-27,197.475723,227.529694,193.454163,210.933151,210.933151,150920674315
2020-05-04,210.890854,216.327682,182.711166,188.599564,188.599564,150152686073
2020-05-11,188.632187,209.160934,180.718338,207.158691,207.158691,120611336121
2020-05-18,207.179779,215.908463,193.346436,202.370346,202.370346,92336624901
2020-05-25,201.982651,244.045258,200.264282,230.975708,230.975708,82946409011
2020-06-01,230.860260,252.222000,230.488052,245.167252,245.167252,74719731540
2020-06-08,245.178574,249.888306,229.645065,234.114700,234.114700,61122813318
2020-06-15,234.058304,236.394302,221.241760,228.989822,228.989822,51716551698
2020-06-22,229.003372,248.508026,219.472672,225.347168,225.347168,51841369946
2020-06-29,225.361435,232.756119,222.254990,227.664597,227.664597,41125720927
